epoch,acc,loss,val_acc,val_loss
0,0.5538235306739807,1.1212056875228882,0.4830346703529358,1.361717939376831
1,0.5752585530281067,1.0844135284423828,0.5561944842338562,1.1248124837875366
2,0.5986859202384949,1.0324326753616333,0.5697015523910522,1.0853215456008911
3,0.6147460341453552,0.9988222718238831,0.5864965915679932,1.0505292415618896
4,0.6240106821060181,0.9753536581993103,0.602414071559906,1.0134797096252441
5,0.6311074495315552,0.9568924903869629,0.5938425660133362,1.03179931640625
6,0.6373583674430847,0.9432492852210999,0.6028472781181335,1.019945740699768
7,0.6415163278579712,0.9318557381629944,0.6093786954879761,1.0006734132766724
8,0.6457881927490234,0.9225778579711914,0.6149178147315979,0.9895174503326416
9,0.6497661471366882,0.91255122423172,0.6091158390045166,0.9993000626564026
10,0.6523823738098145,0.9053575992584229,0.6173763275146484,0.9784268736839294
11,0.6555673480033875,0.8991060256958008,0.6159878373146057,0.9844648838043213
12,0.657290518283844,0.8936024904251099,0.6294801831245422,0.9528294205665588
13,0.6593882441520691,0.8895782232284546,0.6240150928497314,0.9579705595970154
14,0.6611899137496948,0.8836494088172913,0.6211900115013123,0.9716402292251587
15,0.6634703278541565,0.8812547922134399,0.6295208930969238,0.9547526240348816
16,0.6641640067100525,0.8779223561286926,0.6193757653236389,0.9861668348312378
17,0.6662881970405579,0.8742692470550537,0.6389514207839966,0.9327427744865417
18,0.6675956845283508,0.8704944252967834,0.6202606558799744,0.9732745885848999
19,0.66900634765625,0.8677330017089844,0.6314499378204346,0.9479978084564209
20,0.6688461899757385,0.8663536310195923,0.6365891695022583,0.9399873614311218
