epoch,acc,loss,val_acc,val_loss
0,0.5601372122764587,1.1085642576217651,0.48062461614608765,1.4030869007110596
1,0.5800313353538513,1.0733360052108765,0.5562943816184998,1.1206297874450684
2,0.6041903495788574,1.0198798179626465,0.5866230130195618,1.0520868301391602
3,0.6179266571998596,0.9890867471694946,0.5928729772567749,1.041383147239685
4,0.6284265518188477,0.9630915522575378,0.5942199230194092,1.0350152254104614
5,0.6365451812744141,0.9457973837852478,0.6069937944412231,1.012190580368042
6,0.6415416598320007,0.9342535734176636,0.6022942662239075,1.0200791358947754
7,0.6443011164665222,0.9255083799362183,0.6110161542892456,0.9930736422538757
8,0.6486374735832214,0.9175536036491394,0.616685152053833,0.9774675965309143
9,0.6518332958221436,0.9086056351661682,0.6078522801399231,1.0056380033493042
10,0.6537597179412842,0.9030522704124451,0.6261323094367981,0.9617311954498291
11,0.656205415725708,0.8983476161956787,0.6205706000328064,0.9663463234901428
12,0.6581044793128967,0.8931606411933899,0.6290001273155212,0.9643769860267639
13,0.6583316922187805,0.8914547562599182,0.6144797205924988,0.9962999224662781
14,0.6610183715820312,0.8860770463943481,0.633910596370697,0.9409093260765076
15,0.6621801257133484,0.8820286989212036,0.6200821399688721,0.9830613732337952
16,0.6622551083564758,0.8815630674362183,0.6260508894920349,0.9713515043258667
17,0.6648738384246826,0.8777032494544983,0.5969841480255127,1.0304784774780273
18,0.6649607419967651,0.8752119541168213,0.6299622654914856,0.9587656259536743
19,0.6663342714309692,0.8746172189712524,0.6328374743461609,0.9473795294761658
20,0.6667353510856628,0.8713572025299072,0.6343657374382019,0.9390568733215332
21,0.6684671640396118,0.8676060438156128,0.6197898387908936,0.9685021042823792
22,0.6692600846290588,0.86558598279953,0.6370337605476379,0.9347147345542908
23,0.6696364283561707,0.8656899929046631,0.6260546445846558,0.9725144505500793
24,0.6699435114860535,0.8640321493148804,0.639424204826355,0.9335415959358215
25,0.6709133386611938,0.8617669939994812,0.6335405707359314,0.9408963918685913
26,0.6725215911865234,0.8582556247711182,0.6307097673416138,0.9469691514968872
27,0.6728379726409912,0.8564265370368958,0.6212440729141235,0.9822518825531006
28,0.6728190183639526,0.8570370078086853,0.6325044631958008,0.9468094110488892
29,0.6736268997192383,0.8553447723388672,0.6193235516548157,0.990027129650116
30,0.6740270853042603,0.8541101813316345,0.628989040851593,0.9692174792289734
